service_id,date,exception_type
C98625K1HCMAA-051,20250703,1
C98625K1HCMAA-051,20250707,1
C98625K1HCMAA-051,20250708,1
C98625K1HCMAA-051,20250709,1
C98625K1HCMAA-051,20250710,1
C98625K1HCMAA-051,20250714,1
C98625K1HCMAA-051,20250715,1
C98625K1HCMAA-051,20250716,1
C98625K1HCMAA-051,20250717,1
C98625K1HCMAA-051,20250721,1
C98625K1HCMAA-051,20250722,1
C98625K1HCMAA-051,20250723,1
C98625K1HCMAA-051,20250724,1
C98625K1HCMAA-051,20250728,1
C98625K1HCMAA-051,20250729,1
C98625K1HCMAA-051,20250730,1
C98625K1HCMAA-051,20250731,1
C98626K1PPMAA-051,20250627,1
C98626K1PPMAA-051,20250704,1
C98626K1PPMAA-051,20250711,1
C98626K1PPMAA-051,20250718,1
C98626K1PPMAA-051,20250725,1
C98626K1PPMAA-051,20250801,1
C98632RA7VVYM-0011,20250622,1
C98639K1HHHM-0011,20250623,1
C98639K1HHHM-0011,20250630,1
C98639K1HHHM-0011,20250707,1
C98639K1HHHM-0011,20250714,1
C98639K1HHHM-0011,20250721,1
C98639K1HHHM-0011,20250728,1
C98640K1KCHM-0011,20250624,1
C98640K1KCHM-0011,20250625,1
C98640K1KCHM-0011,20250626,1
C98640K1KCHM-0011,20250701,1
C98640K1KCHM-0011,20250702,1
C98640K1KCHM-0011,20250703,1
C98640K1KCHM-0011,20250708,1
C98640K1KCHM-0011,20250709,1
C98640K1KCHM-0011,20250710,1
C98640K1KCHM-0011,20250715,1
C98640K1KCHM-0011,20250716,1
C98640K1KCHM-0011,20250717,1
C98640K1KCHM-0011,20250722,1
C98640K1KCHM-0011,20250723,1
C98640K1KCHM-0011,20250724,1
C98640K1KCHM-0011,20250729,1
C98640K1KCHM-0011,20250730,1
C98640K1KCHM-0011,20250731,1
C98641K1PPHM-0011,20250627,1
C98641K1PPHM-0011,20250704,1
C98641K1PPHM-0011,20250711,1
C98641K1PPHM-0011,20250718,1
C98641K1PPHM-0011,20250725,1
C98641K1PPHM-0011,20250801,1
C98646RK3HPHM-0011,20250623,1
C98646RK3HPHM-0011,20250624,1
C98646RK3HPHM-0011,20250625,1
C98646RK3HPHM-0011,20250626,1
C98646RK3HPHM-0011,20250627,1
C98646RK3HPHM-0011,20250630,1
C98646RK3HPHM-0011,20250701,1
C98646RK3HPHM-0011,20250702,1
C98646RK3HPHM-0011,20250703,1
